code,name,atomic_number,atomic_mass,crm_2014,crm_2017,crm_2020,crm_2023
Ac,actinium,89,227.0,,,,
Ag,silver,47,107.8682,,,,
Al,aluminum,13,26.981538,,,,
Am,americium,95,243.0,,,,
Ar,argon,18,39.948,,,,
As,arsenic,33,74.9216,,,,
At,astatine,85,210.0,,,,
Au,gold,79,196.96655,,,,
B,boron,5,10.811,,,,
Ba,barium,56,137.327,,,,
Be,beryllium,4,9.012182,,,,
Bh,bohrium,107,264.0,,,,
Bi,bismuth,83,208.98038,,,,
Bk,berkelium,97,247.0,,,,
Br,bromine,35,79.904,,,,
C,carbon,6,12.0107,,,,
Ca,calcium,20,40.078,,,,
Cd,cadmium,48,112.411,,,,
Ce,cerium,58,140.116,,,,
Cf,californium,98,251.0,,,,
Cl,chlorine,17,35.453,,,,
Cm,curium,96,247.0,,,,
Cn,copernicium,112,285.0,,,,
Co,cobalt,27,58.9332,,,,
Cr,chromium,24,51.9961,,,,
Cs,cesium,55,132.90545,,,,
Cu,copper,29,63.546,,,,
Db,dubnium,105,262.0,,,,
Ds,darmstadtium,110,281.0,,,,
Dy,dysprosium,66,162.5,,,,
Er,erbium,68,167.259,,,,
Es,einsteinium,99,252.0,,,,
Eu,europium,63,151.964,,,,
F,fluorine,9,18.9984032,,,,
Fe,iron,26,55.845,,,,
Fl,flerovium,114,289.0,,,,
Fm,fermium,100,257.0,,,,
Fr,francium,87,223.0,,,,
Ga,gallium,31,69.723,,,,
Gd,gadolinium,64,157.25,,,,
Ge,germanium,32,72.64,,,,
H,hydrogen,1,1.00794,,,,
He,helium,2,4.002602,,,,
Hf,hafnium,72,178.49,,,,
Hg,mercury,80,200.59,,,,
Ho,holmium,67,164.93032,,,,
Hs,hassium,108,277.0,,,,
I,iodine,53,126.90447,,,,
In,indium,49,114.818,,,,
Ir,iridium,77,192.217,,,,
K,potassium,19,39.0983,,,,
Kr,krypton,36,83.798,,,,
La,lanthanum,57,138.9055,,,,
Li,lithium,3,6.941,,,,
Lr,lawrencium,103,262.0,,,,
Lu,lutetium,71,174.967,,,,
Lv,livermorium,116,293.0,,,,
Mc,moscovium,115,289.0,,,,
Md,mendelevium,101,258.0,,,,
Mg,magnesium,12,24.305,,,,
Mn,manganese,25,54.938049,,,,
Mo,molybdenum,42,95.94,,,,
Mt,meitnerium,109,268.0,,,,
N,nitrogen,7,14.0067,,,,
Na,sodium,11,22.98977,,,,
Nb,niobium,41,92.90638,,,,
Nd,neodymium,60,144.24,,,,
Ne,neon,10,20.1797,,,,
Nh,nihonium,113,286.0,,,,
Ni,nickel,28,58.6934,,,,
No,nobelium,102,259.0,,,,
Np,neptunium,93,237.0,,,,
O,oxygen,8,15.9994,,,,
Og,oganesson,118,294.0,,,,
Os,osmium,76,190.23,,,,
P,phosphorus,15,30.973761,,,,
Pa,protactinium,91,231.03588,,,,
Pb,lead,82,207.2,,,,
Pd,palladium,46,106.42,,,,
Pm,promethium,61,145.0,,,,
Po,polonium,84,209.0,,,,
Pr,praseodymium,59,140.90765,,,,
Pt,platinum,78,195.078,,,,
Pu,plutonium,94,244.0,,,,
Ra,radium,88,226.0,,,,
Rb,rubidium,37,85.4678,,,,
Re,rhenium,75,186.207,,,,
Rf,rutherfordium,104,261.0,,,,
Rg,roentgenium,111,272.0,,,,
Rh,rhodium,45,102.9055,,,,
Rn,radon,86,222.0,,,,
Ru,ruthenium,44,101.07,,,,
S,sulfur,16,32.065,,,,
Sb,antimony,51,121.76,,,,
Sc,scandium,21,44.95591,,,,
Se,selenium,34,78.96,,,,
Sg,seaborgium,106,266.0,,,,
Si,silicon,14,28.0855,,,,
Sm,samarium,62,150.36,,,,
Sn,tin,50,118.71,,,,
Sr,strontium,38,87.62,,,,
Ta,tantalum,73,180.9479,,,,
Tb,terbium,65,158.92534,,,,
Tc,technetium,43,98.0,,,,
Te,tellurium,52,127.6,,,,
Th,thorium,90,232.0381,,,,
Ti,titanium,22,47.867,,,,
Tl,thallium,81,204.3833,,,,
Tm,thulium,69,168.93421,,,,
Ts,tennessine,117,294.0,,,,
U,uranium,92,238.02891,,,,
V,vanadium,23,50.9415,,,,
W,tungsten,74,183.84,,,,
Xe,xenon,54,131.293,,,,
Y,yttrium,39,88.90585,,,,
Yb,ytterbium,70,173.04,,,,
Zn,zinc,30,65.409,,,,
Zr,zirconium,40,91.224,,,,
n,neutron,0,1.00866491597,,,,
